hex	dec	char	count
#elements			
hex	dec	char	count
000A	10	.	499331
0020	32	 	10281619
0021	33	!	127
0022	34	""	6149
0023	35	#	66
0024	36	$	2
0026	38	&	71
0027	39	'	3556
0028	40	(	22534
0029	41	)	22527
002A	42	*	51
002B	43	+	859
002C	44	,	36140
002D	45	-	7543
002E	46	.	105237
002F	47	/	2282
0030	48	0	19326
0031	49	1	30722
0032	50	2	22133
0033	51	3	12044
0034	52	4	11759
0035	53	5	12402
0036	54	6	10643
0037	55	7	9365
0038	56	8	10608
0039	57	9	14485
003A	58	:	5588
003B	59	;	4465
003C	60	<	732
003D	61	=	1430
003E	62	>	708
003F	63	?	818
0041	65	A	55617
0042	66	B	11102
0043	67	C	27827
0044	68	D	17242
0045	69	E	56553
0046	70	F	9936
0047	71	G	8357
0048	72	H	7516
0049	73	I	60816
004A	74	J	1572
004B	75	K	975
004C	76	L	23867
004D	77	M	28302
004E	78	N	29145
004F	79	O	24441
0050	80	P	21847
0051	81	Q	9077
0052	82	R	35006
0053	83	S	44010
0054	84	T	41806
0055	85	U	1182
0056	86	V	49661
0057	87	W	1690
0058	88	X	5644
0059	89	Y	926
005A	90	Z	911
005B	91	[	2113
005C	92	\	11
005D	93	]	2120
0061	97	a	173271
0062	98	b	23359
0063	99	c	91769
0064	100	d	60025
0065	101	e	213753
0066	102	f	22967
0067	103	g	25135
0068	104	h	20415
0069	105	i	196366
006A	106	j	1350
006B	107	k	2205
006C	108	l	71535
006D	109	m	81962
006E	110	n	126318
006F	111	o	110212
0070	112	p	55718
0071	113	q	21484
0072	114	r	136787
0073	115	s	142574
0074	116	t	148588
0075	117	u	144531
0076	118	v	11365
0077	119	w	840
0078	120	x	9935
0079	121	y	5355
007A	122	z	1926
007B	123	{	13
007C	124	|	36
007D	125	}	13
00A0	160	 	12521
00A7	167	§	4
00AB	171	«	90
00B0	176	°	30
00B2	178	²	2400
00B3	179	³	96
00B4	180	´	11
00B7	183	·	7
00B9	185	¹	2770
00BB	187	»	90
00C4	196	Ä	1
00C5	197	Å	1
00C9	201	É	10
00D6	214	Ö	6
00DC	220	Ü	5
00DF	223	ß	2
00E0	224	à	837
00E1	225	á	5
00E4	228	ä	836
00E5	229	å	5
00E6	230	æ	1
00E8	232	è	92
00E9	233	é	79
00EB	235	ë	6
00EC	236	ì	6
00EE	238	î	3
00EF	239	ï	11
00F2	242	ò	6
00F6	246	ö	33
00F8	248	ø	3
00F9	249	ù	2
00FA	250	ú	2
00FC	252	ü	132
0101	257	ā	6
0103	259	ă	5
0113	275	ē	3
0115	277	ĕ	6
0119	281	ę	20
0129	297	ĩ	1
012B	299	ī	4
012D	301	ĭ	1
014D	333	ō	2
014F	335	ŏ	2
0153	339	œ	1
016B	363	ū	8
016D	365	ŭ	8
02C9	713	ˉ	2
02D9	729	˙	9
0323	803	̣	5
0387	903	·	45
0391	913	Α	6
0392	914	Β	2
0393	915	Γ	20
0394	916	Δ	18
0395	917	Ε	2
0396	918	Ζ	4
0397	919	Η	1
0398	920	Θ	7
0399	921	Ι	1
039A	922	Κ	17
039B	923	Λ	4
039C	924	Μ	4
039D	925	Ν	4
039E	926	Ξ	11
039F	927	Ο	3
03A0	928	Π	16
03A3	931	Σ	28
03A4	932	Τ	8
03A6	934	Φ	14
03A7	935	Χ	3
03A8	936	Ψ	9
03A9	937	Ω	40
03AC	940	ά	3
03AD	941	έ	4
03AF	943	ί	1
03B1	945	α	846
03B2	946	β	96
03B3	947	γ	221
03B4	948	δ	342
03B5	949	ε	653
03B6	950	ζ	24
03B7	951	η	176
03B8	952	θ	185
03B9	953	ι	624
03BA	954	κ	404
03BB	955	λ	419
03BC	956	μ	390
03BD	957	ν	1011
03BE	958	ξ	53
03BF	959	ο	853
03C0	960	π	419
03C1	961	ρ	533
03C2	962	ς	460
03C3	963	σ	440
03C4	964	τ	718
03C5	965	υ	205
03C6	966	φ	176
03C7	967	χ	120
03C8	968	ψ	32
03C9	969	ω	132
03CA	970	ϊ	2
03CC	972	ό	3
03CE	974	ώ	1
03DB	987	ϛ	1
1E63	7779	ṣ	1
1E6D	7789	ṭ	1
1EB9	7865	ẹ	1
1ECD	7885	ọ	1
1EE5	7909	ụ	1
1F00	7936	ἀ	144
1F01	7937	ἁ	3
1F02	7938	ἂ	4
1F03	7939	ἃ	1
1F04	7940	ἄ	58
1F05	7941	ἅ	4
1F06	7942	ἆ	2
1F08	7944	Ἀ	21
1F0C	7948	Ἄ	3
1F0D	7949	Ἅ	2
1F10	7952	ἐ	144
1F11	7953	ἑ	10
1F12	7954	ἒ	1
1F14	7956	ἔ	54
1F15	7957	ἕ	7
1F18	7960	Ἐ	5
1F19	7961	Ἑ	8
1F1C	7964	Ἔ	7
1F1D	7965	Ἕ	3
1F20	7968	ἠ	10
1F21	7969	ἡ	16
1F22	7970	ἢ	4
1F23	7971	ἣ	1
1F24	7972	ἤ	11
1F25	7973	ἥ	3
1F26	7974	ἦ	10
1F27	7975	ἧ	5
1F28	7976	Ἠ	3
1F29	7977	Ἡ	2
1F2D	7981	Ἥ	1
1F30	7984	ἰ	59
1F31	7985	ἱ	28
1F33	7987	ἳ	2
1F34	7988	ἴ	22
1F35	7989	ἵ	10
1F36	7990	ἶ	8
1F37	7991	ἷ	6
1F38	7992	Ἰ	2
1F3D	7997	Ἵ	1
1F40	8000	ὀ	17
1F41	8001	ὁ	23
1F43	8003	ὃ	5
1F44	8004	ὄ	10
1F45	8005	ὅ	18
1F48	8008	Ὀ	5
1F4C	8012	Ὄ	1
1F4D	8013	Ὅ	2
1F50	8016	ὐ	66
1F51	8017	ὑ	28
1F54	8020	ὔ	9
1F55	8021	ὕ	15
1F56	8022	ὖ	13
1F57	8023	ὗ	3
1F59	8025	Ὑ	3
1F60	8032	ὠ	2
1F61	8033	ὡ	7
1F62	8034	ὢ	1
1F63	8035	ὣ	1
1F64	8036	ὤ	2
1F65	8037	ὥ	5
1F66	8038	ὦ	1
1F67	8039	ὧ	3
1F6E	8046	Ὦ	2
1F6F	8047	Ὧ	1
1F70	8048	ὰ	54
1F71	8049	ά	171
1F72	8050	ὲ	64
1F73	8051	έ	222
1F74	8052	ὴ	45
1F75	8053	ή	71
1F76	8054	ὶ	132
1F77	8055	ί	242
1F78	8056	ὸ	105
1F79	8057	ό	144
1F7A	8058	ὺ	12
1F7B	8059	ύ	75
1F7C	8060	ὼ	14
1F7D	8061	ώ	43
1F84	8068	ᾄ	1
1FA4	8100	ᾤ	1
1FA7	8103	ᾧ	1
1FB3	8115	ᾳ	3
1FB6	8118	ᾶ	18
1FB7	8119	ᾷ	2
1FC3	8131	ῃ	30
1FC4	8132	ῄ	2
1FC6	8134	ῆ	35
1FC7	8135	ῇ	9
1FD3	8147	ΐ	1
1FD6	8150	ῖ	76
1FE4	8164	ῤ	1
1FE5	8165	ῥ	11
1FE6	8166	ῦ	69
1FEC	8172	Ῥ	1
1FF3	8179	ῳ	21
1FF6	8182	ῶ	69
1FF7	8183	ῷ	11
2013	8211	–	29
2018	8216	‘	38
2019	8217	’	98
201C	8220	“	7
201D	8221	”	7
2020	8224	†	75
2026	8230	…	1
2074	8308	⁴	81
2075	8309	⁵	12
2076	8310	⁶	7
2077	8311	⁷	3
2078	8312	⁸	1
2079	8313	⁹	1
2081	8321	₁	7
2082	8322	₂	7
2083	8323	₃	3
2084	8324	₄	2
2085	8325	₅	3
FEFF	65279	﻿	3
#attributes			
hex	dec	char	count
0020	32	 	91351
0023	35	#	313384
0024	36	$	490
